id	cat	testId	dssim
3381599	g4sa	jph.ppm	0.00001822
3381599	g4sa	nl.webp	0.00001738
3381599	g4sa	o85.jp2	0.00026763
3381599	g4sa	p56.webp	0.00030945
3381599	g4sa	q90.avif	0.00009615
3381599	g4sa	q92.webp	0.00035831
3381599	g4sa	q95.webp	0.00030230
3381599	g4sa	snl.jxl	0.00004718
3314712	skec	d1.jxl	0.00044465
3314712	skec	d2.jxl	0.00127820
3314712	skec	g85.jp2	0.00022247
3314712	skec	jph	0.18614709
3314712	skec	jph.ppm	0.00007551
3314712	skec	nl.webp	0.00015713
3314712	skec	o85.jp2	0.00024826
3314712	skec	p56.webp	0.00041760
3314712	skec	q90.avif	0.00045012
3314712	skec	q92.webp	0.00096848
3314712	skec	q95.webp	0.00064030
3314712	skec	snl.jxl	0.00006364
3400507	skec	d1.jxl	0.00047655
3400507	skec	d2.jxl	0.00146885
3400507	skec	g85.jp2	0.00011245
3400507	skec	jph	0.32790296
3400507	skec	jph.ppm	0.00005381
3400507	skec	nl.webp	0.00012906
3400507	skec	o85.jp2	0.00011069
3400507	skec	p56.webp	0.00035759
3400507	skec	q90.avif	0.00029007
3400507	skec	q92.webp	0.00084598
3400507	skec	q95.webp	0.00054277
3400507	skec	snl.jxl	0.00007566
